Tournament,Step,PlayerID,Action,Reward,ObservationDict,AgentPosition,IsRFIOpportunity,RaiserPosition
4,7,1,call,0.00,"{""active_in_hand"": [0, 1, 2], ""big_blind"": 100, ""button_pos"": 3, ""community_cards"": [], ""current_bets"": {""0"": 6425, ""1"": 8875, ""2"": 8875, ""3"": 0, ""4"": 0, ""5"": 200}, ""current_player_id"": 0, ""hand"": [""5C"", ""JD""], ""legal_actions"": [""all_in"", ""call"", ""fold""], ""num_active_players"": 4, ""player_id"": 0, ""pot"": 24375, ""small_blind"": 50, ""stacks"": {""0"": 3575, ""1"": 1125, ""2"": 1125, ""3"": 0, ""4"": 0, ""5"": 29800.0}, ""stage"": ""preflop""}",N/A,False,N/A
4,8,1,bet_small,19075.00,"{""active_in_hand"": [0, 1, 2], ""big_blind"": 100, ""button_pos"": 3, ""community_cards"": [""QD"", ""AH"", ""AD""], ""current_bets"": {""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""5C"", ""JD""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""check"", ""fold""], ""num_active_players"": 4, ""player_id"": 0, ""pot"": 26825, ""small_blind"": 50, ""stacks"": {""0"": 1125, ""1"": 1125, ""2"": 1125, ""3"": 0, ""4"": 0, ""5"": 29800.0}, ""stage"": ""flop""}",N/A,False,0
4,10,1,call,0.00,"{""active_in_hand"": [0, 2, 5], ""big_blind"": 100, ""button_pos"": 4, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 0, ""2"": 50, ""3"": 0, ""4"": 0, ""5"": 100}, ""current_player_id"": 0, ""hand"": [""5C"", ""2C""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 3, ""player_id"": 0, ""pot"": 150, ""small_blind"": 50, ""stacks"": {""0"": 29075.0, ""1"": 0, ""2"": 1075, ""3"": 0, ""4"": 0, ""5"": 29700.0}, ""stage"": ""preflop""}",N/A,False,5
4,11,1,fold,-100.00,"{""active_in_hand"": [0, 2, 5], ""big_blind"": 100, ""button_pos"": 4, ""community_cards"": [], ""current_bets"": {""0"": 100, ""1"": 0, ""2"": 300, ""3"": 0, ""4"": 0, ""5"": 29800.0}, ""current_player_id"": 0, ""hand"": [""5C"", ""2C""], ""legal_actions"": [""all_in"", ""fold""], ""num_active_players"": 2, ""player_id"": 0, ""pot"": 30200.0, ""small_blind"": 50, ""stacks"": {""0"": 28975.0, ""1"": 0, ""2"": 825, ""3"": 0, ""4"": 0, ""5"": 0.0}, ""stage"": ""preflop""}",N/A,False,5
4,13,1,all_in,-28975.00,"{""active_in_hand"": [0, 2], ""big_blind"": 100, ""button_pos"": 5, ""community_cards"": [], ""current_bets"": {""0"": 50, ""1"": 0, ""2"": 100, ""3"": 0, ""4"": 0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""6S"", ""8H""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 3, ""player_id"": 0, ""pot"": 150, ""small_blind"": 50, ""stacks"": {""0"": 28925.0, ""1"": 0, ""2"": 725, ""3"": 0, ""4"": 0, ""5"": 30200.0}, ""stage"": ""preflop""}",N/A,False,0
5,2,1,bet_small,0.00,"{""active_in_hand"": [0, 1, 2, 3, 4, 5], ""big_blind"": 100, ""button_pos"": 2, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 0, ""2"": 0, ""3"": 50, ""4"": 100, ""5"": 100}, ""current_player_id"": 0, ""hand"": [""TH"", ""7D""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 6, ""player_id"": 0, ""pot"": 250, ""small_blind"": 50, ""stacks"": {""0"": 10000, ""1"": 10000, ""2"": 10000, ""3"": 9950, ""4"": 9900, ""5"": 9900}, ""stage"": ""preflop""}",N/A,False,1
5,3,1,fold,-200.00,"{""active_in_hand"": [0, 1, 2, 5], ""big_blind"": 100, ""button_pos"": 2, ""community_cards"": [], ""current_bets"": {""0"": 200, ""1"": 10000, ""2"": 10000, ""3"": 50, ""4"": 100, ""5"": 10000}, ""current_player_id"": 0, ""hand"": [""TH"", ""7D""], ""legal_actions"": [""all_in"", ""fold""], ""num_active_players"": 3, ""player_id"": 0, ""pot"": 30350, ""small_blind"": 50, ""stacks"": {""0"": 9800, ""1"": 0, ""2"": 0, ""3"": 9950, ""4"": 9900, ""5"": 0}, ""stage"": ""preflop""}",N/A,False,1
5,5,1,call,0.00,"{""active_in_hand"": [0, 3, 4, 5], ""big_blind"": 100, ""button_pos"": 3, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 50, ""5"": 100}, ""current_player_id"": 0, ""hand"": [""3D"", ""7S""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 4, ""player_id"": 0, ""pot"": 150, ""small_blind"": 50, ""stacks"": {""0"": 9800, ""1"": 0, ""2"": 0, ""3"": 9950, ""4"": 9850, ""5"": 30250.0}, ""stage"": ""preflop""}",N/A,False,3
5,6,1,bet_small,0.00,"{""active_in_hand"": [0, 3], ""big_blind"": 100, ""button_pos"": 3, ""community_cards"": [], ""current_bets"": {""0"": 100, ""1"": 0, ""2"": 0, ""3"": 250, ""4"": 50, ""5"": 100}, ""current_player_id"": 0, ""hand"": [""3D"", ""7S""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 4, ""player_id"": 0, ""pot"": 500, ""small_blind"": 50, ""stacks"": {""0"": 9700, ""1"": 0, ""2"": 0, ""3"": 9700, ""4"": 9850, ""5"": 30250.0}, ""stage"": ""preflop""}",N/A,False,N/A
5,7,1,bet_small,0.00,"{""active_in_hand"": [0, 3], ""big_blind"": 100, ""button_pos"": 3, ""community_cards"": [""9S"", ""3C"", ""TD""], ""current_bets"": {""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""3D"", ""7S""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""check"", ""fold""], ""num_active_players"": 4, ""player_id"": 0, ""pot"": 950, ""small_blind"": 50, ""stacks"": {""0"": 9400, ""1"": 0, ""2"": 0, ""3"": 9550, ""4"": 9850, ""5"": 30250.0}, ""stage"": ""flop""}",N/A,False,N/A
5,8,1,bet_small,0.00,"{""active_in_hand"": [0, 3], ""big_blind"": 100, ""button_pos"": 3, ""community_cards"": [""9S"", ""3C"", ""TD"", ""9H""], ""current_bets"": {""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""3D"", ""7S""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""check"", ""fold""], ""num_active_players"": 4, ""player_id"": 0, ""pot"": 1900, ""small_blind"": 50, ""stacks"": {""0"": 8925, ""1"": 0, ""2"": 0, ""3"": 9075, ""4"": 9850, ""5"": 30250.0}, ""stage"": ""turn""}",N/A,False,3
5,9,1,fold,-1825.00,"{""active_in_hand"": [0, 3], ""big_blind"": 100, ""button_pos"": 3, ""community_cards"": [""9S"", ""3C"", ""TD"", ""9H""], ""current_bets"": {""0"": 950, ""1"": 0, ""2"": 0, ""3"": 9075, ""4"": 0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""3D"", ""7S""], ""legal_actions"": [""all_in"", ""fold""], ""num_active_players"": 3, ""player_id"": 0, ""pot"": 11925, ""small_blind"": 50, ""stacks"": {""0"": 7975, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 9850, ""5"": 30250.0}, ""stage"": ""turn""}",N/A,False,3
5,11,1,bet_small,0.00,"{""active_in_hand"": [0, 3, 4, 5], ""big_blind"": 100, ""button_pos"": 4, ""community_cards"": [], ""current_bets"": {""0"": 100, ""1"": 0, ""2"": 0, ""3"": 200, ""4"": 200, ""5"": 325}, ""current_player_id"": 0, ""hand"": [""QS"", ""QC""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 4, ""player_id"": 0, ""pot"": 825, ""small_blind"": 50, ""stacks"": {""0"": 7875, ""1"": 0, ""2"": 0, ""3"": 11725.0, ""4"": 9650, ""5"": 29925.0}, ""stage"": ""preflop""}",N/A,False,3
5,12,1,fold,0.00,"{""active_in_hand"": [0, 3, 4, 5], ""big_blind"": 100, ""button_pos"": 4, ""community_cards"": [], ""current_bets"": {""0"": 512, ""1"": 0, ""2"": 0, ""3"": 11925.0, ""4"": 9850, ""5"": 11925.0}, ""current_player_id"": 0, ""hand"": [""QS"", ""QC""], ""legal_actions"": [""all_in"", ""fold""], ""num_active_players"": 2, ""player_id"": 0, ""pot"": 34212.0, ""small_blind"": 50, ""stacks"": {""0"": 7463, ""1"": 0, ""2"": 0, ""3"": 0.0, ""4"": 0, ""5"": 18325.0}, ""stage"": ""preflop""}",N/A,False,N/A
5,17,1,bet_small,0.00,"{""active_in_hand"": [0, 3], ""big_blind"": 100, ""button_pos"": 5, ""community_cards"": [], ""current_bets"": {""0"": 50, ""1"": 0, ""2"": 0, ""3"": 100, ""4"": 0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""AS"", ""2D""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 2, ""player_id"": 0, ""pot"": 150, ""small_blind"": 50, ""stacks"": {""0"": 7413, ""1"": 0, ""2"": 0, ""3"": 52437.0, ""4"": 0, ""5"": 0.0}, ""stage"": ""preflop""}",N/A,False,3
5,18,1,all_in,-7463.00,"{""active_in_hand"": [0, 3], ""big_blind"": 100, ""button_pos"": 5, ""community_cards"": [], ""current_bets"": {""0"": 200, ""1"": 0, ""2"": 0, ""3"": 52537.0, ""4"": 0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""AS"", ""2D""], ""legal_actions"": [""all_in"", ""fold""], ""num_active_players"": 1, ""player_id"": 0, ""pot"": 52737.0, ""small_blind"": 50, ""stacks"": {""0"": 7263, ""1"": 0, ""2"": 0, ""3"": 0.0, ""4"": 0, ""5"": 0.0}, ""stage"": ""preflop""}",N/A,False,3
6,2,1,bet_small,0.00,"{""active_in_hand"": [0, 1, 2, 3, 4, 5], ""big_blind"": 100, ""button_pos"": 2, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 0, ""2"": 0, ""3"": 50, ""4"": 100, ""5"": 100}, ""current_player_id"": 0, ""hand"": [""KS"", ""KD""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 6, ""player_id"": 0, ""pot"": 250, ""small_blind"": 50, ""stacks"": {""0"": 10000, ""1"": 10000, ""2"": 10000, ""3"": 9950, ""4"": 9900, ""5"": 9900}, ""stage"": ""preflop""}",N/A,False,3
6,3,1,fold,-200.00,"{""active_in_hand"": [0, 1, 3, 5], ""big_blind"": 100, ""button_pos"": 2, ""community_cards"": [], ""current_bets"": {""0"": 200, ""1"": 450, ""2"": 0, ""3"": 10000, ""4"": 100, ""5"": 10000}, ""current_player_id"": 0, ""hand"": [""KS"", ""KD""], ""legal_actions"": [""all_in"", ""fold""], ""num_active_players"": 4, ""player_id"": 0, ""pot"": 20750, ""small_blind"": 50, ""stacks"": {""0"": 9800, ""1"": 9550, ""2"": 10000, ""3"": 0, ""4"": 9900, ""5"": 0}, ""stage"": ""preflop""}",N/A,False,3
6,5,1,all_in,-9800.00,"{""active_in_hand"": [0, 1, 2, 4], ""big_blind"": 100, ""button_pos"": 3, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 50, ""2"": 100, ""3"": 0, ""4"": 200, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""AC"", ""4H""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 4, ""player_id"": 0, ""pot"": 350, ""small_blind"": 50, ""stacks"": {""0"": 9800, ""1"": 30250.0, ""2"": 9900, ""3"": 0, ""4"": 9700, ""5"": 0}, ""stage"": ""preflop""}",N/A,False,1
7,2,1,bet_small,0.00,"{""active_in_hand"": [0, 1, 2, 3, 4, 5], ""big_blind"": 100, ""button_pos"": 0, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 50, ""2"": 100, ""3"": 200, ""4"": 300, ""5"": 400}, ""current_player_id"": 0, ""hand"": [""AH"", ""6H""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 6, ""player_id"": 0, ""pot"": 1050, ""small_blind"": 50, ""stacks"": {""0"": 10000, ""1"": 9950, ""2"": 9900, ""3"": 9800, ""4"": 9700, ""5"": 9600}, ""stage"": ""preflop""}",N/A,False,2
7,3,1,all_in,40837.00,"{""active_in_hand"": [0, 1, 2, 3, 4, 5], ""big_blind"": 100, ""button_pos"": 0, ""community_cards"": [], ""current_bets"": {""0"": 525, ""1"": 837, ""2"": 10000, ""3"": 10000, ""4"": 10000, ""5"": 10000}, ""current_player_id"": 0, ""hand"": [""AH"", ""6H""], ""legal_actions"": [""all_in"", ""fold""], ""num_active_players"": 2, ""player_id"": 0, ""pot"": 41362, ""small_blind"": 50, ""stacks"": {""0"": 9475, ""1"": 9163, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}, ""stage"": ""preflop""}",N/A,False,2
7,5,1,call,0.00,"{""active_in_hand"": [0, 1], ""big_blind"": 100, ""button_pos"": 1, ""community_cards"": [], ""current_bets"": {""0"": 100, ""1"": 9163, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""3C"", ""5D""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 1, ""player_id"": 0, ""pot"": 9263, ""small_blind"": 50, ""stacks"": {""0"": 50737.0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}, ""stage"": ""preflop""}",N/A,False,N/A
7,6,1,bet_small,0.00,"{""active_in_hand"": [0, 1], ""big_blind"": 100, ""button_pos"": 1, ""community_cards"": [""TH"", ""7H"", ""KH""], ""current_bets"": {""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""3C"", ""5D""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""check"", ""fold""], ""num_active_players"": 1, ""player_id"": 0, ""pot"": 18326, ""small_blind"": 50, ""stacks"": {""0"": 41674.0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}, ""stage"": ""flop""}",N/A,False,N/A
